PLMN,M971_sum
P0480,57938333
P0714,41505652
P1888,30835225
P2794,30189103
P2614,25787575
P0975,25003639
P0193,17523110
P2309,15517820
P0899,14494434
P0876,13715205
P1575,13070314
P1921,11304302
P2765,11147219
P1956,10871428
P1106,10815034
P0139,10790693
P1833,9359399
P1852,8294034
P0110,6861404
P0515,5270964
P1066,5009389
P2645,4986549
P2291,4975372
P2187,4806559
P1055,4366193
P1720,4297290
P1038,4238955
P2788,4191421
P0518,4093945
P2875,3885842
P1669,3825994
P1640,3685360
P2994,3527667
P2387,3495734
P0634,3155229
P0230,3137594
P2362,3075932
P0902,2938097
P2812,2888825
P0613,2824520
P1160,2797082
P2950,2604148
P0753,2395086
P0682,2356102
P2838,2306782
P1040,2275953
P1655,2272958
P1065,2185590
P0504,2183521
P0235,1727099
P2359,1613379
P2731,1596496
P0312,1581305
P2208,1562496
P2180,1411211
P2090,1378351
P0647,1343299
P0015,1292339
P2335,1236283
P2680,1129021
P1095,1061096
P0090,1013678
P0473,965119
P0486,962671
P0815,958206
P0155,954742
P1719,948245
P1566,939692
P1917,908856
P2207,859923
P2592,793283
P1936,790027
P1254,784833
P1243,764440
P2495,764240
P2465,763845
P0423,752228
P1475,724392
P1856,713668
P2578,702389
P2638,694900
P2935,692149
P1330,662862
P0134,658346
P0288,630814
P2206,624685
P2438,623099
P1323,597423
P1745,564233
P1467,538916
P1516,520388
P2897,519882
P0398,512365
P0442,491786
P1075,449986
P1771,441894
P0487,427857
P1837,427092
P1435,400349
P2918,400333
P1943,392839
P2943,377500
P0615,357301
P0190,347030
P0915,329504
P2381,317688
P2755,311652
P1179,306267
P1311,303792
P1840,289444
P0317,288399
P2819,284755
P0871,279092
P0375,277334
P0979,276056
P0560,273687
P2391,273586
P2518,271527
P0362,270014
P0737,264199
P1727,260020
P2878,253029
P1207,252636
P2264,244939
P1542,243378
P0821,243317
P2796,240096
P2726,233690
P1892,214443
P2030,211468
P0905,202321
P1515,192076
P1000,189344
P2953,182345
P2575,178833
P2128,174920
P2239,173536
P2178,168984
P1619,167364
P0060,165804
P0105,160960
P1932,158784
P2452,153292
P1544,151458
P1381,146945
P0116,144010
P0918,143840
P1850,140853
P0363,140590
P1476,139096
P1412,126117
P0986,123475
P2290,123254
P1591,122934
P2771,119340
P0633,115374
P0063,113683
P2581,112751
P2809,112470
P0881,111346
P2589,109602
P2553,108010
P2881,105674
P1929,105436
P2901,104249
P1521,103044
P1252,102195
P0344,100332
P1613,98368
P1286,95462
P0253,91601
P2412,90715
P2934,85151
P1405,84933
P1093,82935
P2089,82210
P2327,81652
P2326,81077
P0273,78725
P2146,77901
P1434,76917
P1134,75312
P0452,73579
P2183,73030
P1928,71601
P1979,70118
P1170,67994
P1559,66532
P1110,65945
P2148,65938
P0389,64443
P0255,64225
P1959,61431
P1738,60999
P1941,60054
P2366,59077
P2287,58583
P0894,56085
P1692,55903
P0618,55745
P1899,55511
P0817,54778
P2690,54319
P0376,54075
P0261,53881
P2166,53225
P0039,52930
P0024,52545
P0422,50180
P2432,49645
P2063,49466
P1494,49092
P2939,47609
P1930,47396
P2697,46808
P0133,46783
P2778,45759
P1298,45744
P1863,45146
P0958,44606
P2913,44410
P1671,44065
P2197,43831
P1114,42819
P0780,42591
P0249,42061
P2288,42011
P1453,41147
P2164,41100
P1287,40830
P0367,40523
P1534,40051
P0681,39992
P1904,39854
P1107,38909
P1423,38724
P0952,38184
P2339,37478
P0804,37118
P1844,36848
P1479,36339
P2698,35719
P2169,34909
P2735,34818
P1008,34706
P0592,34650
P1857,33932
P2100,33389
P1049,33105
P2992,33092
P0278,32898
P2439,32443
P0922,32230
P0198,31720
P0830,30348
P2313,30179
P2302,30165
P2504,29879
P2355,29869
P1755,29222
P2116,29183
P1289,29022
P1757,28321
P2112,28239
P2285,28137
P0391,28127
P0695,27444
P1661,27351
P0097,26982
P2009,26937
P0896,26352
P2436,25726
P0954,25700
P0290,25386
P0023,24799
P1301,24054
P2175,23885
P1916,23691
P0087,23419
P1590,22787
P1200,22698
P2760,22639
P1586,22545
P1777,22355
P0298,22123
P0966,21903
P1571,21721
P0974,21104
P1543,21024
P2525,20719
P0562,20671
P0236,20538
P2118,19692
P1006,19279
P0528,19134
P2213,18929
P0717,18852
P0938,18828
P0868,18716
P2967,18672
P1345,18596
P2527,18550
P1376,18491
P0702,18145
P2413,17775
P2886,17712
P2156,17605
P2662,16916
P2563,16893
P2965,16884
P1512,16778
P1533,16704
P2402,16394
P1384,16128
P1511,15880
P0293,15854
P1100,15839
P2141,15837
P2570,15814
P2024,15403
P0276,15282
P2921,14884
P2149,14698
P0240,14634
P1033,14530
P1452,14134
P1750,14054
P1885,13871
P2706,13379
P1911,13343
P0326,13319
P2986,13304
P1048,13282
P0465,13245
P0704,13100
P1226,13091
P0461,13071
P1577,13002
P1424,12892
