rank,PLMN,M971_sum
1,P0480,149058224
2,P0714,125198993
3,P2794,84294134
4,P1888,82265050
5,P2614,70137590
6,P0975,67196355
7,P2309,58623908
8,P1833,56848528
9,P0193,46981656
10,P0876,42489314
11,P1921,39543567
12,P0899,39202970
13,P1575,36826628
14,P1852,34440061
15,P1106,31702645
16,P0139,31004710
17,P1956,29556584
18,P2765,28167700
19,P0110,22237876
20,P2291,20268039
21,P2187,17194392
22,P2645,16433801
23,P0515,16133136
24,P1066,13708841
25,P1038,13065938
26,P1055,12992437
27,P1669,12846744
28,P2788,12511819
29,P0518,12160080
30,P2875,11532943
31,P1640,11250796
32,P2994,11003819
33,P0634,10915020
34,P2387,10664870
35,P2812,10201151
36,P1720,10138875
37,P2362,10012416
38,P0230,9534552
39,P0902,8833244
40,P1160,8812097
41,P0682,6908801
42,P1040,6852406
43,P2838,6820918
44,P2950,6787855
45,P0504,6600557
46,P0235,6590936
47,P0613,6441011
48,P2359,6376815
49,P1655,6342961
50,P1065,6227717
51,P0753,6221604
52,P0486,4782165
53,P0647,4519286
54,P2090,4468717
55,P2731,4332251
56,P0312,4271717
57,P1727,3855279
58,P1095,3827338
59,P0015,3792936
60,P2180,3764352
61,P2335,3452646
62,P0090,3418147
63,P0155,3339273
64,P2680,3290007
65,P0815,3219445
66,P2208,3149997
67,P0473,2993445
68,P1566,2985221
69,P1719,2668840
70,P1936,2666353
71,P1917,2637216
72,P2495,2618499
73,P2592,2603325
74,P0288,2535527
75,P2465,2393058
76,P2207,2260939
77,P1243,2252319
78,P0134,2235194
79,P2578,2166755
80,P2638,2070271
81,P1475,2060201
82,P1856,2026391
83,P1516,2002860
84,P2935,1912205
85,P0398,1870530
86,P2438,1818776
87,P1467,1761809
88,P1330,1737183
89,P0423,1721184
90,P1323,1632757
91,P2206,1615000
92,P0442,1569580
93,P2897,1539735
94,P1075,1333491
95,P1435,1281649
96,P1837,1266220
97,P1745,1261230
98,P1254,1205655
99,P1943,1179642
100,P2918,1135207
