time,metric,value,z_score
2026-04-29 15:55:00+00:00,M029,1,5.0761719056800665
2026-04-29 16:00:00+00:00,M419,4,51.96869403708245
2026-04-29 17:25:00+00:00,M843,1,5.807053316353087
2026-04-29 17:45:00+00:00,M490,1,3.6280130488296627
2026-04-29 17:55:00+00:00,M843,1,5.807053316353087
2026-04-29 20:10:00+00:00,M029,1,5.0761719056800665
2026-04-29 20:20:00+00:00,M516,6,3.1541831310751034
2026-04-29 20:45:00+00:00,M736,2,3.6390656569105078
2026-04-29 21:05:00+00:00,M474,1,11.742331665439213
2026-04-29 21:05:00+00:00,M490,1,3.6280130488296627
2026-04-29 21:10:00+00:00,M490,1,3.6280130488296627
2026-04-29 21:30:00+00:00,M490,1,3.6280130488296627
2026-04-29 21:35:00+00:00,M490,1,3.6280130488296627
2026-04-29 21:55:00+00:00,M843,1,5.807053316353087
2026-04-29 22:00:00+00:00,M841,4,3.3463180561446433
2026-04-29 23:00:00+00:00,M490,1,3.6280130488296627
2026-04-29 23:20:00+00:00,M490,1,3.6280130488296627
2026-04-29 23:30:00+00:00,M336,1,9.86959171074772
2026-04-29 23:35:00+00:00,M419,1,12.950858562770918
2026-04-29 23:50:00+00:00,M736,3,5.674080819384621
2026-04-30 00:40:00+00:00,M475,5,20.616898124099347
2026-04-30 00:40:00+00:00,M490,1,3.6280130488296627
2026-04-30 00:45:00+00:00,M475,5,20.616898124099347
2026-04-30 02:10:00+00:00,M378,77,3.1293358418932304
2026-04-30 02:10:00+00:00,M658,75,3.1471895499675737
2026-04-30 02:10:00+00:00,M786,83,3.2985975719203395
2026-04-30 02:10:00+00:00,M843,1,5.807053316353087
2026-04-30 02:20:00+00:00,M104,4,3.5266457494405126
2026-04-30 02:25:00+00:00,M490,1,3.6280130488296627
2026-04-30 02:45:00+00:00,M843,1,5.807053316353087
2026-04-30 02:50:00+00:00,M029,1,5.0761719056800665
2026-04-30 03:20:00+00:00,M843,1,5.807053316353087
2026-04-30 03:35:00+00:00,M972,1,76.82122102648461
2026-04-30 03:40:00+00:00,M164,1,8.28702251171813
2026-04-30 03:50:00+00:00,M736,3,5.674080819384621
2026-04-30 04:00:00+00:00,M843,1,5.807053316353087
2026-04-30 04:05:00+00:00,M378,80,3.3547538859264106
2026-04-30 04:05:00+00:00,M658,80,3.541161430248364
2026-04-30 04:05:00+00:00,M786,85,3.4351037051928617
2026-04-30 04:25:00+00:00,M490,2,7.487149293327246
2026-04-30 04:30:00+00:00,M419,1,12.950858562770918
2026-04-30 04:30:00+00:00,M736,2,3.6390656569105078
2026-04-30 04:35:00+00:00,M490,1,3.6280130488296627
2026-04-30 04:45:00+00:00,M736,2,3.6390656569105078
2026-04-30 04:55:00+00:00,M490,1,3.6280130488296627
2026-04-30 05:00:00+00:00,M490,1,3.6280130488296627
2026-04-30 05:05:00+00:00,M490,1,3.6280130488296627
2026-04-30 05:20:00+00:00,M474,1,11.742331665439213
2026-04-30 05:20:00+00:00,M841,4,3.3463180561446433
2026-04-30 05:25:00+00:00,M336,1,9.86959171074772
2026-04-30 05:25:00+00:00,M736,2,3.6390656569105078
2026-04-30 05:35:00+00:00,M736,2,3.6390656569105078
2026-04-30 06:05:00+00:00,M475,1,3.9861637392558062
2026-04-30 06:20:00+00:00,M490,1,3.6280130488296627
2026-04-30 06:45:00+00:00,M490,1,3.6280130488296627
2026-04-30 09:10:00+00:00,M736,2,3.6390656569105078
2026-04-30 09:30:00+00:00,M490,1,3.6280130488296627
2026-04-30 10:25:00+00:00,M490,1,3.6280130488296627
2026-04-30 10:25:00+00:00,M904,5,3.3151017642218727
2026-04-30 11:05:00+00:00,M843,1,5.807053316353087
2026-04-30 11:10:00+00:00,M490,1,3.6280130488296627
2026-04-30 11:30:00+00:00,M843,1,5.807053316353087
2026-04-30 11:50:00+00:00,M841,4,3.3463180561446433
2026-04-30 11:50:00+00:00,M843,1,5.807053316353087
2026-04-30 12:00:00+00:00,M843,1,5.807053316353087
2026-04-30 12:10:00+00:00,M490,1,3.6280130488296627
2026-04-30 12:40:00+00:00,M336,1,9.86959171074772
2026-04-30 12:55:00+00:00,M843,1,5.807053316353087
2026-04-30 13:05:00+00:00,M029,1,5.0761719056800665
2026-04-30 13:25:00+00:00,M736,2,3.6390656569105078
2026-04-30 13:35:00+00:00,M736,6,11.779126306806962
2026-04-30 13:40:00+00:00,M736,4,7.709095981858734
2026-04-30 13:45:00+00:00,M490,1,3.6280130488296627
2026-04-30 13:45:00+00:00,M736,2,3.6390656569105078
2026-04-30 14:50:00+00:00,M474,1,11.742331665439213
2026-04-30 16:00:00+00:00,M490,1,3.6280130488296627
2026-04-30 16:00:00+00:00,M843,1,5.807053316353087
2026-04-30 16:20:00+00:00,M336,1,9.86959171074772
2026-04-30 16:40:00+00:00,M843,1,5.807053316353087
2026-04-30 17:35:00+00:00,M843,1,5.807053316353087
2026-04-30 17:50:00+00:00,M736,2,3.6390656569105078
2026-04-30 18:15:00+00:00,M029,1,5.0761719056800665
2026-04-30 18:15:00+00:00,M843,2,11.780065810868045
2026-04-30 18:30:00+00:00,M164,1,8.28702251171813
2026-04-30 19:05:00+00:00,M843,1,5.807053316353087
2026-04-30 19:10:00+00:00,M843,1,5.807053316353087
2026-04-30 19:45:00+00:00,M516,7,3.7668751466468473
2026-04-30 19:50:00+00:00,M843,1,5.807053316353087
2026-04-30 20:00:00+00:00,M843,1,5.807053316353087
2026-04-30 20:05:00+00:00,M029,1,5.0761719056800665
2026-04-30 20:45:00+00:00,M736,2,3.6390656569105078
2026-04-30 21:00:00+00:00,M490,1,3.6280130488296627
2026-04-30 21:30:00+00:00,M490,2,7.487149293327246
2026-04-30 22:05:00+00:00,M490,1,3.6280130488296627
2026-04-30 23:05:00+00:00,M843,1,5.807053316353087
2026-04-30 23:40:00+00:00,M843,1,5.807053316353087
2026-05-01 00:10:00+00:00,M843,1,5.807053316353087
2026-05-01 00:30:00+00:00,M843,1,5.807053316353087
2026-05-01 01:00:00+00:00,M736,3,5.674080819384621
2026-05-01 01:10:00+00:00,M843,1,5.807053316353087
2026-05-01 01:15:00+00:00,M736,2,3.6390656569105078
2026-05-01 01:30:00+00:00,M736,2,3.6390656569105078
2026-05-01 01:45:00+00:00,M475,2,8.14384733546669
2026-05-01 01:50:00+00:00,M779,9,3.996262208224016
2026-05-01 01:55:00+00:00,M736,2,3.6390656569105078
2026-05-01 01:55:00+00:00,M841,5,4.357175157216511
2026-05-01 02:00:00+00:00,M516,11,6.217643208933824
2026-05-01 02:00:00+00:00,M779,25,12.263666434832473
2026-05-01 02:00:00+00:00,M786,98,4.322393571464256
2026-05-01 02:00:00+00:00,M843,1,5.807053316353087
2026-05-01 02:00:00+00:00,M904,5,3.3151017642218727
2026-05-01 02:05:00+00:00,M104,4,3.5266457494405126
2026-05-01 02:05:00+00:00,M490,1,3.6280130488296627
2026-05-01 02:05:00+00:00,M516,9,4.992259177790335
2026-05-01 02:05:00+00:00,M609,17,3.2811646980712545
2026-05-01 02:05:00+00:00,M779,24,11.746953670669445
2026-05-01 02:05:00+00:00,M786,96,4.185887438191734
2026-05-01 02:05:00+00:00,M841,4,3.3463180561446433
2026-05-01 02:10:00+00:00,M516,17,9.893795302364287
2026-05-01 02:10:00+00:00,M779,31,15.363943019810645
2026-05-01 02:10:00+00:00,M786,112,5.277936504371912
2026-05-01 02:15:00+00:00,M104,6,5.679452485854673
2026-05-01 02:15:00+00:00,M516,18,10.506487317936031
2026-05-01 02:15:00+00:00,M779,20,9.680102614017331
2026-05-01 02:15:00+00:00,M786,95,4.117634371555473
2026-05-01 02:15:00+00:00,M843,1,5.807053316353087
2026-05-01 02:20:00+00:00,M029,1,5.0761719056800665
2026-05-01 02:20:00+00:00,M104,6,5.679452485854673
2026-05-01 02:20:00+00:00,M516,8,4.379567162218591
2026-05-01 02:20:00+00:00,M658,74,3.0683951739114157
2026-05-01 02:20:00+00:00,M779,15,7.096538793202188
2026-05-01 02:20:00+00:00,M786,98,4.322393571464256
2026-05-01 02:25:00+00:00,M104,6,5.679452485854673
2026-05-01 02:25:00+00:00,M779,8,3.4795494440609875
2026-05-01 02:30:00+00:00,M516,9,4.992259177790335
2026-05-01 02:30:00+00:00,M779,11,5.029687736550073
2026-05-01 02:35:00+00:00,M104,4,3.5266457494405126
2026-05-01 02:35:00+00:00,M490,1,3.6280130488296627
2026-05-01 02:35:00+00:00,M516,10,5.60495119336208
2026-05-01 02:35:00+00:00,M779,10,4.5129749723870445
2026-05-01 02:35:00+00:00,M786,87,3.571609838465384
2026-05-01 02:35:00+00:00,M841,5,4.357175157216511
2026-05-01 02:40:00+00:00,M336,1,9.86959171074772
2026-05-01 02:40:00+00:00,M475,1,3.9861637392558062
2026-05-01 02:40:00+00:00,M609,17,3.2811646980712545
2026-05-01 02:45:00+00:00,M516,12,6.830335224505568
2026-05-01 02:50:00+00:00,M104,4,3.5266457494405126
2026-05-01 03:00:00+00:00,M843,1,5.807053316353087
2026-05-01 03:05:00+00:00,M029,1,5.0761719056800665
2026-05-01 03:05:00+00:00,M475,1,3.9861637392558062
2026-05-01 03:05:00+00:00,M490,1,3.6280130488296627
2026-05-01 03:05:00+00:00,M841,5,4.357175157216511
2026-05-01 03:05:00+00:00,M843,1,5.807053316353087
2026-05-01 03:10:00+00:00,M475,1,3.9861637392558062
2026-05-01 03:15:00+00:00,M475,1,3.9861637392558062
2026-05-01 03:15:00+00:00,M609,17,3.2811646980712545
2026-05-01 03:15:00+00:00,M841,5,4.357175157216511
2026-05-01 03:15:00+00:00,M843,1,5.807053316353087
2026-05-01 03:20:00+00:00,M164,1,8.28702251171813
2026-05-01 03:20:00+00:00,M779,10,4.5129749723870445
2026-05-01 03:20:00+00:00,M841,5,4.357175157216511
2026-05-01 03:25:00+00:00,M029,2,10.280636848059187
2026-05-01 03:25:00+00:00,M336,1,9.86959171074772
2026-05-01 03:25:00+00:00,M516,8,4.379567162218591
2026-05-01 03:25:00+00:00,M736,3,5.674080819384621
2026-05-01 03:25:00+00:00,M786,86,3.5033567718291225
2026-05-01 03:25:00+00:00,M841,4,3.3463180561446433
2026-05-01 03:30:00+00:00,M475,1,3.9861637392558062
2026-05-01 03:30:00+00:00,M490,2,7.487149293327246
2026-05-01 03:30:00+00:00,M736,3,5.674080819384621
2026-05-01 03:30:00+00:00,M779,14,6.579826029039159
2026-05-01 03:30:00+00:00,M786,87,3.571609838465384
2026-05-01 03:35:00+00:00,M378,80,3.3547538859264106
2026-05-01 03:35:00+00:00,M658,78,3.383572678136048
2026-05-01 03:35:00+00:00,M736,3,5.674080819384621
2026-05-01 03:35:00+00:00,M786,86,3.5033567718291225
2026-05-01 03:40:00+00:00,M516,8,4.379567162218591
2026-05-01 03:40:00+00:00,M736,3,5.674080819384621
2026-05-01 03:40:00+00:00,M779,10,4.5129749723870445
2026-05-01 03:40:00+00:00,M786,81,3.162091438647817
2026-05-01 03:45:00+00:00,M336,1,9.86959171074772
2026-05-01 03:45:00+00:00,M609,21,4.4304095728852575
2026-05-01 03:45:00+00:00,M779,11,5.029687736550073
2026-05-01 03:45:00+00:00,M841,8,7.389746460432114
2026-05-01 03:50:00+00:00,M378,79,3.2796145379153505
2026-05-01 03:50:00+00:00,M609,17,3.2811646980712545
2026-05-01 03:50:00+00:00,M658,78,3.383572678136048
2026-05-01 03:50:00+00:00,M736,4,7.709095981858734
2026-05-01 03:50:00+00:00,M786,84,3.3668506385566004
2026-05-01 03:50:00+00:00,M841,4,3.3463180561446433
2026-05-01 03:55:00+00:00,M419,1,12.950858562770918
2026-05-01 03:55:00+00:00,M841,4,3.3463180561446433
2026-05-01 04:05:00+00:00,M378,85,3.7304506259817107
2026-05-01 04:05:00+00:00,M658,85,3.9351333105291535
2026-05-01 04:05:00+00:00,M736,3,5.674080819384621
2026-05-01 04:05:00+00:00,M786,90,3.7763690383741673
2026-05-01 04:10:00+00:00,M378,81,3.4298932339374706
